City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Baruun-Urt,MN,46.6806,113.2792,78.98,29,27,10.92,scattered clouds
324,Okha,RU,53.5739,142.9478,39.51,98,100,11.34,light rain
325,Sabang,ID,5.8933,95.3214,83.48,74,83,20.07,light rain
326,Sogod,PH,10.3847,124.9814,79.21,88,100,1.3,overcast clouds
327,Boa Vista,BR,2.8197,-60.6733,78.78,83,0,3.44,clear sky
328,Ende,ID,-8.8432,121.6623,80.69,84,43,4.29,scattered clouds
329,Teya,RU,60.3778,92.6267,63.16,34,66,11.79,broken clouds
330,Kupang,ID,-10.1667,123.5833,88.38,58,40,11.5,haze
331,Saint-Philippe,RE,-21.3585,55.7679,76.48,78,88,15.37,overcast clouds
332,Talnakh,RU,69.4865,88.3972,34.5,100,100,4.65,light rain
333,Tabuk,PH,17.4189,121.4443,92.7,49,79,4.59,broken clouds
334,Bogalusa,US,30.791,-89.8487,81.7,78,1,4.61,clear sky
335,Mattru,SL,7.6244,-11.8332,72.95,96,93,1.86,overcast clouds
336,Lasa,IT,46.6166,10.7002,59.02,80,80,4.23,broken clouds
337,Yumen,CN,40.2833,97.2,82.26,20,100,9.62,overcast clouds
338,Sulangan,PH,11.1373,123.7228,79.34,85,100,12.03,overcast clouds
339,Abonnema,NG,4.7084,6.7931,75.04,92,100,3.71,overcast clouds
340,Ler,SS,8.3018,30.1418,86.02,48,51,5.73,broken clouds
341,Namatanai,PG,-3.6667,152.4333,84.87,64,20,9.95,few clouds
342,Hofn,IS,64.2539,-15.2082,41.97,55,8,20.65,clear sky
343,Athabasca,CA,54.7169,-113.2854,52.52,77,100,7.14,overcast clouds
344,Aztec,US,36.8222,-107.9929,67.48,15,0,8.88,clear sky
345,Broken Hill,AU,-31.95,141.4333,61.56,45,57,6.4,broken clouds
346,Washougal,US,45.5826,-122.3534,60.71,90,90,0.0,overcast clouds
